id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,is_estimated
171444,"Salad dressing, mayonnaise-type, light",,dầu mỡ,158,0.65,16.4,10,0,,833,36,13,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171444",FALSE
171445,"Chicken, broiler, rotisserie, BBQ, breast, meat only",,thịt gia cầm,144,28.04,0,3.57,0,,328,284,246,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171445",FALSE
171446,"Chicken, broilers or fryers, meat and skin and giblets and neck, stewed",,thịt gia cầm,216,24.49,0.06,12.37,0,,66,163,144,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171446",FALSE
171447,"Chicken, broilers or fryers, meat and skin, raw",,thịt gia cầm,215,18.6,0,15.06,0,,70,189,147,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171447",FALSE
171448,"Chicken, broilers or fryers, meat and skin, cooked, fried, batter",,thịt gia cầm,289,22.54,9.42,17.35,0.3,,292,185,155,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171448",FALSE
171449,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",,thịt gia cầm,269,28.56,3.15,14.92,0.1,,84,234,191,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171449",FALSE
171450,"Chicken, broilers or fryers, meat and skin, cooked, roasted",,thịt gia cầm,239,27.3,0,13.6,0,,82,223,182,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171450",FALSE
171451,"Chicken, broilers or fryers, meat only, cooked, stewed",,thịt gia cầm,177,27.29,0,6.71,0,,70,180,150,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171451",FALSE
171452,"Chicken, broilers or fryers, skin only, raw",,thịt gia cầm,349,13.33,0,32.35,0,,63,103,100,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171452",FALSE
171455,"Chicken, broilers or fryers, giblets, cooked, simmered",,thịt gia cầm,157,27.15,0,4.5,0,,67,224,289,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171455",FALSE
171456,"Chicken, gizzard, all classes, raw",,thịt gia cầm,94,17.66,0,2.06,0,,69,237,148,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171456",FALSE
171457,"Chicken, gizzard, all classes, cooked, simmered",,thịt gia cầm,154,30.39,0,2.68,0,,56,179,189,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171457",FALSE
171458,"Chicken, heart, all classes, raw",,thịt gia cầm,153,15.55,0.71,9.33,0,,74,176,177,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171458",FALSE
171460,"Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, flour",,thịt gia cầm,246,30.45,1.82,12.09,0.1,,77,239,213,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171460",FALSE
171461,"Chicken, broilers or fryers, light meat, meat and skin, cooked, roasted",,thịt gia cầm,222,29.02,0,10.85,0,,75,227,200,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171461",FALSE
171462,"Chicken, broilers or fryers, light meat, meat and skin, cooked, stewed",,thịt gia cầm,201,26.14,0,9.97,0,,63,167,146,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171462",FALSE
171463,"Chicken, broilers or fryers, dark meat, meat and skin, raw",,thịt gia cầm,237,16.69,0,18.34,0,,73,178,136,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171463",FALSE
171464,"Chicken, broilers or fryers, light meat, meat only, raw",,thịt gia cầm,114,23.2,0,1.65,0,,68,239,187,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171464",FALSE
171465,"Chicken, broilers or fryers, light meat, meat only, cooked, fried",,thịt gia cầm,192,32.82,0.42,5.54,0,,81,263,231,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171465",FALSE
171466,"Chicken, broilers or fryers, light meat, meat only, cooked, roasted",,thịt gia cầm,173,30.91,0,4.51,0,,77,247,216,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171466",FALSE
171467,"Chicken, broilers or fryers, light meat, meat only, cooked, stewed",,thịt gia cầm,159,28.88,0,3.99,0,,65,180,159,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171467",FALSE
171468,"Chicken, broilers or fryers, separable fat, raw",,thịt gia cầm,629,3.73,0,67.95,0,,32,64,54,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171468",FALSE
171469,"Chicken, broilers or fryers, back, meat and skin, raw",,thịt gia cầm,319,14.05,0,28.74,0,,64,144,113,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171469",FALSE
171472,"Chicken, broilers or fryers, back, meat only, cooked, roasted",,thịt gia cầm,239,28.19,0,13.16,0,,96,237,165,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171472",FALSE
171473,"Chicken, broilers or fryers, back, meat only, cooked, stewed",,thịt gia cầm,209,25.31,0,11.19,0,,67,158,130,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171473",FALSE
171474,"Chicken, broilers or fryers, breast, meat and skin, raw",,thịt gia cầm,172,20.85,0,9.25,0,,63,220,174,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171474",FALSE
171475,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter",,thịt gia cầm,260,24.84,8.99,13.2,0.3,,275,201,185,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171475",FALSE
171476,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, flour",,thịt gia cầm,222,31.84,1.64,8.87,0.1,,76,259,233,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171476",FALSE
171477,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",,thịt gia cầm,165,31.02,0,3.57,0,,74,256,228,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171477",FALSE
171478,"Chicken, broilers or fryers, breast, meat only, cooked, stewed",,thịt gia cầm,151,28.98,0,3.03,0,,63,187,165,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171478",FALSE
171479,"Turkey, whole, meat and skin, cooked, roasted",,thịt gia cầm,189,28.55,0.06,7.39,0,,103,239,223,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171479",FALSE
171480,"Turkey, whole, meat only, raw",,thịt gia cầm,115,22.64,0.14,1.93,0,,118,235,190,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171480",FALSE
171481,"Turkey, whole, meat only, cooked, roasted",,thịt gia cầm,159,29.06,0,3.84,0,,101,239,222,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171481",FALSE
171482,"Turkey, whole, skin (light and dark), raw",,thịt gia cầm,407,12.96,0.16,38.93,0,,62,124,120,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171482",FALSE
171483,"Turkey, all classes, gizzard, cooked, simmered",,thịt gia cầm,155,26.45,0,4.64,0,,127,193,187,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171483",FALSE
171484,"Turkey, all classes, heart, raw",,thịt gia cầm,140,16.7,0.4,7.44,0,,129,179,183,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171484",FALSE
171485,"Turkey, all classes, heart, cooked, simmered",,thịt gia cầm,174,24.88,0,7.52,0,,140,203,241,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171485",FALSE
171486,"Turkey, all classes, liver, raw",,thịt gia cầm,128,18.26,0,5.5,0,,131,214,279,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171486",FALSE
171487,"Turkey, all classes, liver, cooked, simmered",,thịt gia cầm,189,27,0,8.18,0,,98,153,312,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171487",FALSE
171488,"Turkey, dark meat, meat and skin, raw",,thịt gia cầm,166,19.81,0.15,8.97,0,,113,208,166,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171488",FALSE
171489,"Turkey, whole, dark meat, meat and skin, cooked, roasted",,thịt gia cầm,206,27.27,0.07,9.95,0,,105,228,215,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171489",FALSE
171490,"Turkey, whole, light meat, raw",,thịt gia cầm,114,23.66,0.14,1.48,0,,113,242,201,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171490",FALSE
171491,"Turkey, all classes, light meat, cooked, roasted",,thịt gia cầm,147,30.13,0,2.08,0,,99,249,230,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171491",FALSE
171492,"Turkey, all classes, breast, meat and skin, cooked, roasted",,thịt gia cầm,189,28.71,0,7.41,0,,63,288,210,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171492",FALSE
171493,"Turkey, all classes, leg, meat and skin, raw",,thịt gia cầm,144,19.54,0,6.72,0,,74,273,177,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171493",FALSE
171494,"Turkey, all classes, leg, meat and skin, cooked, roasted",,thịt gia cầm,208,27.87,0,9.82,0,,77,280,199,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171494",FALSE
171495,"Turkey, all classes, wing, meat and skin, raw",,thịt gia cầm,197,20.22,0,12.32,0,,55,240,165,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171495",FALSE
171496,"Turkey, whole, breast, meat only, cooked, roasted",,thịt gia cầm,147,30.13,0,2.08,0,,99,249,230,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171496",FALSE
171497,"Turkey, whole, wing, meat only, raw",,thịt gia cầm,115,23.66,0.14,1.48,0,,113,242,201,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171497",FALSE
171498,"Turkey, whole, wing, meat only, cooked, roasted",,thịt gia cầm,147,30.13,0,2.08,0,,99,249,230,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171498",FALSE
171499,"Turkey, young hen, skin only, cooked, roasted",,thịt gia cầm,482,19.03,0,44.45,0,,44,155,133,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171499",FALSE
171500,"Turkey and gravy, frozen",,thịt gia cầm,67,5.88,4.61,2.63,0,,554,61,81,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171500",FALSE
171501,"Turkey breast, pre-basted, meat and skin, cooked, roasted",,thịt gia cầm,126,22.16,0,3.46,0,,397,248,214,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171501",FALSE
171502,"Turkey thigh, pre-basted, meat and skin, cooked, roasted",,thịt gia cầm,157,18.8,0,8.54,0,,437,241,171,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171502",FALSE
171503,"Turkey roast, boneless, frozen, seasoned, light and dark meat, raw",,thịt gia cầm,120,17.6,6.4,2.2,0,,678,360,158,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171503",FALSE
171504,"Turkey, mechanically deboned, from turkey frames, raw",,thịt gia cầm,201,13.29,0,15.96,0,,48,173,115,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171504",FALSE
171505,"Turkey, Ground, raw",,thịt gia cầm,148,19.66,0,7.66,0,,58,237,200,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171505",FALSE
171506,"Turkey, Ground, cooked",,thịt gia cầm,203,27.37,0,10.4,0,,78,294,254,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171506",FALSE
171507,"Chicken, cornish game hens, meat and skin, raw",,thịt gia cầm,200,17.15,0,14.02,0,,61,236,140,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171507",FALSE
171508,"Chicken, wing, frozen, glazed, barbecue flavored, heated (microwave)",,thịt gia cầm,248,25.34,3.84,13.9,0.9,,837,254,272,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171508",FALSE
171509,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",,thịt gia cầm,108,20.32,0,3,0,,173,332,198,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171509",FALSE
171512,"Chicken patty, frozen, uncooked",,thịt gia cầm,292,14.33,13.61,20.04,1.2,,518,248,196,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171512",FALSE
171513,"Chicken patty, frozen, cooked",,thịt gia cầm,287,14.85,12.84,19.58,0.3,,532,261,208,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171513",FALSE
171514,"Chicken breast tenders, breaded, cooked, microwaved",,thịt gia cầm,252,16.35,17.56,12.89,0,,446,225,216,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171514",FALSE
171515,"Chicken breast tenders, breaded, uncooked",,thịt gia cầm,263,14.73,15.01,15.75,1.1,,536,214,211,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171515",FALSE
171516,"Chicken, broiler, rotisserie, BBQ, wing, meat only",,thịt gia cầm,186,28.34,0.54,7.79,0,,725,322,264,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171516",FALSE
171517,"Chicken, broilers or fryers, rotisserie, original seasoning, back, meat only, cooked",,thịt gia cầm,205,25.34,0,11.54,0,,661,309,250,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171517",FALSE
171518,"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat only, cooked",,thịt gia cầm,137,28,0,2.79,0,,313,303,235,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171518",FALSE
171519,"Chicken, broilers or fryers, drumstick, rotisserie, original seasoning, meat only, cooked",,thịt gia cầm,176,28.74,0,6.81,0,,417,301,257,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171519",FALSE
171520,"Chicken, broilers or fryers, rotisserie, original seasoning, skin only, cooked",,thịt gia cầm,406,17.66,0.11,37.24,0,,381,245,248,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171520",FALSE
171521,"Chicken, broilers or fryers,  rotisserie, original seasoning, drumstick, meat and skin, cooked",,thịt gia cầm,215,26.86,0.02,11.98,0,,411,291,255,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171521",FALSE
171522,"Chicken, broilers or fryers, rotisserie, original seasoning, thigh, meat and skin, cooked",,thịt gia cầm,233,22.93,0.02,15.7,0,,345,260,222,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171522",FALSE
171523,"Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat and skin, cooked",,thịt gia cầm,266,24.34,0.04,18.77,0,,610,296,258,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171523",FALSE
171524,"Chicken, broiler, rotisserie, BBQ, skin",,thịt gia cầm,378,15.19,0.7,35.15,0,,335,223,230,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171524",FALSE
171525,"Turkey, drumstick, from whole bird, meat only, with added solution, raw",,thịt gia cầm,115,19.27,0.15,4.12,0,,167,226,191,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171525",FALSE
171526,"Turkey, wing, from whole bird, meat only, with added solution, raw",,thịt gia cầm,102,21.54,0.14,1.66,0,,206,242,236,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171526",FALSE
171527,"Turkey, wing, from whole bird, meat only, with added solution, roasted",,thịt gia cầm,127,26.97,0,2.08,0,,238,249,255,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171527",FALSE
171528,"Turkey, retail parts, breast, meat and skin, raw",,thịt gia cầm,155,21.88,0,7.45,0,,72,247,176,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171528",FALSE
171529,"Turkey, retail parts, breast, meat and skin, cooked, roasted",,thịt gia cầm,164,29.01,0.05,5.33,0,,114,292,251,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171529",FALSE
171530,"Turkey, drumstick, from whole bird, meat only, roasted",,thịt gia cầm,139,30.13,0,2.08,0,,99,249,230,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171530",FALSE
171531,"Turkey, thigh, from whole bird, meat only, raw",,thịt gia cầm,108,21.28,0.15,2.5,0,,124,226,176,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171531",FALSE
171532,"Turkey, thigh, from whole bird, meat only, roasted",,thịt gia cầm,165,27.71,0,6.04,0,,104,227,212,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171532",FALSE
171533,"Turkey, retail parts, thigh, meat and skin, raw",,thịt gia cầm,161,19.54,0,9.16,0,,75,239,161,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171533",FALSE
171534,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",,thịt gia cầm,151,30.54,0,3.17,0,,52,391,258,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171534",FALSE
171535,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised",,thịt gia cầm,145,28.24,0,3.61,0,,172,313,217,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171535",FALSE
171536,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled",,thịt gia cầm,148,29.5,0,3.39,0,,215,420,249,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171536",FALSE
171537,"Soup, cream of asparagus, canned, condensed",,súp & nước sốt,69,1.82,8.52,3.26,0.4,,669,138,31,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171537",FALSE
171538,"Soup, beef broth or bouillon canned, ready-to-serve",,súp & nước sốt,7,1.14,0.04,0.22,0,,372,54,13,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171538",FALSE
171539,"Soup, beef noodle, canned, condensed",,súp & nước sốt,67,3.85,7.16,2.46,0.6,,653,79,37,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171539",FALSE
171540,"Soup, cream of celery, canned, condensed",,súp & nước sốt,72,1.32,7.03,4.46,0.6,,516,98,30,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171540",FALSE
171541,"Soup, cheese, canned, condensed",,súp & nước sốt,82,0.8,11.3,3.92,2.2,,692,37,33,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171541",FALSE
171542,"Soup, chicken broth, canned, condensed",,súp & nước sốt,31,4.42,0.75,1.04,0,,621,170,60,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171542",FALSE
171543,"Soup, chicken noodle, canned, condensed",,súp & nước sốt,48,2.37,6.07,1.55,0.9,,681,48,38,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171543",FALSE
171544,"Soup, chicken rice, canned, chunky, ready-to-serve",,súp & nước sốt,53,5.11,5.41,1.33,0.4,,370,45,30,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171544",FALSE
171545,"Soup, chicken with rice, canned, condensed",,súp & nước sốt,68,1.84,11.57,1.56,0.9,,645,34,42,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171545",FALSE
171546,"Soup, chicken and vegetable, canned, ready-to-serve",,súp & nước sốt,33,1.97,4.68,0.73,0.9,,229,133,35,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171546",FALSE
171547,"Soup, clam chowder, new england, canned, condensed",,súp & nước sốt,72,3.17,10.32,2.06,0.7,,516,221,260,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171547",FALSE
171548,"Soup, beef broth bouillon and consomme, canned, condensed",,súp & nước sốt,11,2.52,0.32,0,0,,694,125,26,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171548",FALSE
171550,"Soup, minestrone, canned, chunky, ready-to-serve",,súp & nước sốt,53,2.13,8.64,1.17,2.4,,288,255,46,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171550",FALSE
171551,"Soup, onion, canned, condensed",,súp & nước sốt,46,3.06,6.68,1.42,0.7,,516,56,9,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171551",FALSE
171552,"Soup, cream of onion, canned, condensed",,súp & nước sốt,88,2.2,10.4,4.2,0.4,,637,98,30,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171552",FALSE
171553,"Soup, oyster stew, canned, condensed",,súp & nước sốt,48,1.72,3.32,3.13,0,,722,40,39,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171553",FALSE
171554,"Soup, pea, green, canned, condensed",,súp & nước sốt,125,6.54,20.18,2.23,3.9,,680,145,95,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171554",FALSE
171555,"Soup, pea, split with ham, canned, chunky, ready-to-serve",,súp & nước sốt,77,4.62,11.17,1.66,1.7,,301,127,74,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171555",FALSE
171557,"Soup, tomato rice, canned, condensed",,súp & nước sốt,93,1.64,17.08,2.12,1.3,,635,257,26,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171557",FALSE
171559,"Soup, chunky vegetable, canned, ready-to-serve",,súp & nước sốt,39,1.14,7.9,0.36,1.1,,267,180,29,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171559",FALSE
171560,"Soup, beef broth or bouillon, powder, dry",,súp & nước sốt,213,15.97,17.4,8.89,0,,26000,446,320,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171560",FALSE
171561,"Soup, beef broth, cubed, dry",,súp & nước sốt,170,17.3,16.1,4,0,,24000,403,225,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171561",FALSE
171562,"Soup, chicken broth or bouillon, dry",,súp & nước sốt,267,16.66,18.01,13.88,0,,23875,309,166,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171562",FALSE
171563,"Soup, chicken broth cubes, dry",,súp & nước sốt,198,14.6,23.5,4.7,0,,24000,374,191,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171563",FALSE
171564,"Gravy, beef, canned, ready-to-serve",,súp & nước sốt,53,3.75,4.81,2.36,0.4,,633,81,30,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171564",FALSE
171565,"Gravy, brown, dry",,súp & nước sốt,367,10.74,59.38,9.61,2,,4843,262,203,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171565",FALSE
171566,"Gravy, chicken, canned or bottled, ready-to-serve",,súp & nước sốt,48,0.71,5.29,2.62,0.1,,389,42,20,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171566",FALSE
171568,"Gravy, turkey, canned, ready-to-serve",,súp & nước sốt,51,2.6,5.1,2.1,0.4,,577,109,29,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171568",FALSE
171571,"Soup, chicken noodle, dry, mix",,súp & nước sốt,377,15.42,62.32,6.51,3.2,,3161,306,195,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171571",FALSE
171572,"Soup, beef mushroom, canned, prepared with equal volume water",,súp & nước sốt,30,2.37,2.6,1.23,0.1,,386,63,14,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171572",FALSE
171573,"Soup, chicken mushroom, canned, prepared with equal volume water",,súp & nước sốt,54,1.8,3.8,3.75,0.1,,327,63,11,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171573",FALSE
171574,"Soup, tomato bisque, canned, prepared with equal volume water",,súp & nước sốt,50,0.92,9.6,1.02,0.2,,424,169,24,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171574",FALSE
171575,"Sauce, peanut, made from coconut, water, sugar, peanuts",,súp & nước sốt,179,2.02,28.46,6.34,1.1,,319,99,35,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171575",FALSE
171579,"Sauce, pesto, ready-to-serve, refrigerated",,súp & nước sốt,418,9.83,10.09,37.6,1.8,,603,560,273,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171579",FALSE
171580,"Sauce, pesto, ready-to-serve, shelf stable",,súp & nước sốt,426,5,6.14,42.42,1.7,,998,205,132,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171580",FALSE
171581,"Sauce, pesto, BUITONI, pesto with basil, ready-to-serve, refrigerated",,súp & nước sốt,418,9.83,10.09,37.6,1.8,,603,560,273,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171581",FALSE
171582,"Sauce, pesto, CLASSICO, basil pesto, ready-to-serve",,súp & nước sốt,372,4.16,6.93,36.38,2.1,,1028,195,97,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171582",FALSE
171583,"Soup, vegetable broth, ready to serve",,súp & nước sốt,5,0.24,0.93,0.07,0,,296,19,3,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171583",FALSE
171584,"Sauce, cheese sauce mix, dry",,súp & nước sốt,438,7.68,60.52,18.33,1,,3202,428,283,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171584",FALSE
171587,"Soup, tomato, canned, condensed, reduced sodium",,súp & nước sốt,65,1.61,13.41,0.56,1.2,,22,229,29,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171587",FALSE
171588,"Gravy, brown instant, dry",,súp & nước sốt,380,8.53,59.78,11.85,3.2,,5053,367,212,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171588",FALSE
171589,"Gravy, instant beef, dry",,súp & nước sốt,369,9.8,61.1,9.48,4.3,,5203,450,239,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171589",FALSE
171590,"Gravy, instant turkey, dry",,súp & nước sốt,409,11.72,57.56,14.66,3.8,,4090,306,203,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171590",FALSE
171591,"Soup, tomato, low sodium, with water",,súp & nước sốt,30,0.79,6.57,0.28,0.6,,33,112,14,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171591",FALSE
171592,"Soup, pea, low sodium, prepared with equal volume water",,súp & nước sốt,62,3.2,9.88,1.09,1.9,,10,71,47,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171592",FALSE
171593,"Soup, chicken noodle, low sodium, canned, prepared with equal volume water",,súp & nước sốt,25,1.27,2.95,0.95,0.2,,173,22,17,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171593",FALSE
171594,"Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",,súp & nước sốt,33,1.1,6.06,0.45,1.1,,194,217,23,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171594",FALSE
171595,"Sauce, tomato chili sauce, bottled, with salt",,súp & nước sốt,92,2.5,19.79,0.3,2.4,,1338,370,52,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171595",FALSE
171596,"Soup, vegetable chicken, canned, prepared with water, low sodium",,súp & nước sốt,69,5.1,8.76,2,0.4,,35,153,44,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171596",FALSE
171597,"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",,súp & nước sốt,51,1.41,8.06,1.48,1.8,,30,319,34,,,,,,,USDA,"USDA FoodData Central (SR Legacy), fdcId:171597",FALSE
