id,name_vi,aliases,category,kcal_100g,protein_g,carb_g,fat_g,fiber_g,sugar_g,na_mg,k_mg,p_mg,purine_mg,purine_source_ref,gi_index,gi_source,gi_source_ref,contains_allergens,source,source_ref,thai_bo_pct,is_estimated
2002,"Gạo tẻ máy Ordinary raw polished rice,",,ngũ cốc,346,7.9,76.3,1,0.4,,5,241,104,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01004, tr.24",0,FALSE
2003,"Kê Foxtail millet, raw",,ngũ cốc,345,7,72.4,3,3.4,,7,249,290,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01006, tr.24",2,FALSE
2004,"Ngô bắp tươi Corn seeds, fresh, raw",,ngũ cốc,200,4.1,40.8,2.3,1.2,,3,306,187,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01007, tr.24",45,FALSE
2005,"Ngô hạt khô vàng Yellow corn seed, dried","bắp hạt khô vàng yellow corn seed, dried",ngũ cốc,362,8.6,71.4,4.7,2,,35,287,190,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01008, tr.24",2,FALSE
2006,Bỏng ngô Corn flakes,bỏng bắp corn flakes,ngũ cốc,386,8.6,84.2,1.6,3.4,,346,609,47,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01015, tr.26",0,FALSE
2007,Bột gạo nếp Glutinous rice flour,,ngũ cốc,365,8.2,79.4,1.6,0.6,,3,293,148,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01016, tr.26",0,FALSE
2008,Bột gạo tẻ Rice flour,,ngũ cốc,360,6.6,82.6,0.4,0.4,0.12,0,76,135,32.6,"USDA/ODS-NIH Purine DB R2.0 (2025) — Rice, white, raw. Bột gạo tẻ Rice flour. Mức tin cậy: thay thế gần. bột gạo tẻ = gạo tẻ xay mịn, cùng nền hạt gạo.",,,,,NIN,"Bảng TPTP VN 2017, mã 01017, tr.26; sugar_g tra chéo từ USDA FDC fdcId:169714 'Rice flour, white, unenriched' (khớp loài/dạng chế biến, số liệu chính vẫn từ nguồn gốc NIN)",0,FALSE
2009,Bột ngô vàng Yellow maize flour,bột bắp vàng yellow maize flour,ngũ cốc,367,8.3,74.5,4,1.5,,5,315,170,,,,,,,NIN,"Bảng TPTP VN 2017, mã 01019, tr.26",0,FALSE
2010,"Củ cái Winged yam yam, purple",,khoai củ,134,3.1,30.18,0.12,1.8,,12,397,32,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02002, tr.30",15,FALSE
2011,"Củ sắn Cassava, manioc, raw","củ khoai mì cassava, manioc, raw",khoai củ,158,1.1,37.9,0.2,1.5,,2,394,30,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02004, tr.30",25,FALSE
2012,"Khoai lang nghệ Sweet raw potato, yellow,",,khoai củ,119,1.2,27.9,0.3,0.8,,350,107,56,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02009, tr.30",13,FALSE
2013,"Khoai sọ Taro tuber, raw",,khoai củ,119,1.8,27.7,0.1,1.2,,10,448,75,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02013, tr.30",18,FALSE
2014,"Khoai lang khô Sweet potato, dried",,khoai củ,348,2.2,83.6,0.5,3.6,,86,584,137,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02022, tr.32",5,FALSE
2015,"Khoai tây khô White potato, dried",,khoai củ,343,6.6,78.5,0.3,3.4,,25,1410,180,,,,,,,NIN,"Bảng TPTP VN 2017, mã 02023, tr.32",0,FALSE
2016,"Cùi dừa già Coconut raw meat, mature,",,hạt,385,4.8,10.4,36,4.2,,7,555,154,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03001, tr.36",20,FALSE
2017,"Cùi dừa non Coconut immature, meat, raw",,hạt,54,3.5,6.1,1.7,3.5,,141,454,53,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03002, tr.36",0,FALSE
2018,"Đậu Hà lan (hạt) Field peas, seed, dried",,đậu,342,22.2,60.1,1.4,6,,9,135,303,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03006, tr.36",0,FALSE
2019,"Lạc hạt Peanut, dried","đậu phộng hạt peanut, dried",hạt,583,27.5,18,44.5,2.5,,4,421,420,,,,,,lạc,NIN,"Bảng TPTP VN 2017, mã 03017, tr.38",2,FALSE
2020,"Quả cọ tươi Palm fruit, fresh",,hạt,192,2.3,15.6,13.4,3.5,,14,1806,34,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03018, tr.38",40,FALSE
2021,"Vừng (đen, trắng) Sesame black or seeds, white dried,","mè (đen, trắng) sesame black or seeds, white dried,",hạt,582,20.1,21.1,46.4,3.5,,11,468,629,,,,,,vừng,NIN,"Bảng TPTP VN 2017, mã 03020, tr.38",5,FALSE
2022,"Bột đã (đậu loại đậu nành) béo tương Soybeans flour, defatted",,hạt,331,49,31.5,1,2.5,,20,2384,602,,,,,,đậu nành,NIN,"Bảng TPTP VN 2017, mã 03021, tr.38",0,FALSE
2023,Bột đậu xanh Mungo bean flour,,hạt,363,24.6,60.4,2.5,3.9,,6,1185,100,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03023, tr.38",0,FALSE
2024,Bột lạc Peanut flour,bột đậu phộng peanut flour,hạt,583,27.5,17.1,45,2.1,,4,414,380,,,,,,lạc,NIN,"Bảng TPTP VN 2017, mã 03024, tr.38",0,FALSE
2025,"Hạt bí đỏ rang Pumpkin seeds, fried",,hạt,528,35.1,25.3,31.8,2.3,,172,383,900,,,,,,,NIN,"Bảng TPTP VN 2017, mã 03028, tr.38",19,FALSE
2026,"Bí ngô Pumpkin squash, raw","bí đỏ pumpkin squash, raw",rau,29,0.3,6.83,0.07,0.7,,8,349,16,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04003, tr.44",18.3,FALSE
2027,"Cà bát Egg raw plant, large round,",,rau,28,1.2,5.57,0.13,1.5,,2,230,16,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04004, tr.44",5,FALSE
2028,"Cà chua Tomato, raw",,rau,24,0.6,4.77,0.23,0.8,,12,275,26,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04005, tr.44",5,FALSE
2029,"Cà (củ rốt đỏ, vàng) Carrots, all variety, raw",,rau,44,1.5,9.03,0.17,1.2,,52,266,39,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04007, tr.44",10.5,FALSE
2030,"Cải bắp Cabbage, common, raw","bắp cải cabbage, common, raw",rau,36,1.8,6.91,0.09,1.6,,28,190,31,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04010, tr.44",10,FALSE
2031,"Cải bắp đỏ Cabbage, red, raw","bắp cải đỏ cabbage, red, raw",rau,61,1.9,13,0.2,4,,27,243,42,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04011, tr.44",22,FALSE
2032,"Cải soong Water cress, raw",,rau,22,2.1,3.33,0.07,2,,85,211,28,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04014, tr.44",30,FALSE
2033,"Cải (cải thìa trắng) Chinese cabbage, raw",,rau,24,1.4,4.26,0.14,1.8,,25,200,30,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04015, tr.44",25,FALSE
2034,"Cần tây Celery, raw",,rau,54,3.7,9.44,0.16,1.5,,96,326,128,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04018, tr.46",16,FALSE
2035,"Chuối xanh Banana varieties, common unripe",,rau,78,1.2,17.48,0.32,1,,13,256,27,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04019, tr.46",32,FALSE
2036,"Củ cải trắng khô White radish, dried",,rau,290,17.6,51.6,1.5,17.7,,278,3494,204,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04022, tr.46",0,FALSE
2037,Dưa chuột Cucumber,,rau,18,0.8,3.61,0.09,0.7,,13,169,27,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04027, tr.46",5,FALSE
2038,"Đậu đũa Yardlong bean, raw","đậu que yardlong bean, raw",rau,67,6,9.99,0.31,2,,5,194,16,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04030, tr.46",10,FALSE
2039,"Đậu Hà Lan Green raw peas; field pea,",,rau,75,6.5,11.71,0.29,1,,5,244,43,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04031, tr.46",10,FALSE
2040,Giá đậu xanh Mungobean sprouts,,rau,52,5.5,7.17,0.13,2,,23,164,91,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04036, tr.48",5,FALSE
2041,"Hành củ tươi Onion, bulb onion, raw",,rau,29,1.3,5.22,0.28,0.7,,17,212,49,2.2,"USDA/ODS-NIH Purine DB R2.0 (2025) — Onions, raw. Hành củ tươi Onion, bulb onion, raw. Mức tin cậy: khớp trực tiếp.",,,,,NIN,"Bảng TPTP VN 2017, mã 04037, tr.48",24,FALSE
2042,Hạt sen khô Dried lotus seed,hột sen khô dried lotus seed,rau,342,20,60.2,2.4,2.2,,5,1368,285,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04041, tr.48",0,FALSE
2043,"Hẹ lá Onion, leek, raw fragrant, Chinese",,rau,21,2.2,2.49,0.21,0.9,,6,234,45,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04042, tr.48",13,FALSE
2044,"Khế Carambola; raw Star fruit,",,rau,26,0.6,5.47,0.23,2.6,,2,133,8,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04045, tr.48",13,FALSE
2045,"Măng tre Bamboo shoots, raw",,rau,31,1.7,5.59,0.21,4.1,,4,533,58,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04053, tr.50",50,FALSE
2046,"Ngải cứu Mugwort, raw wormwood,",,rau,33,3.8,4.4,0,2,,98,612,45,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04057, tr.50",31,FALSE
2047,"Ngó sen Lotus, underground, stem raw",,rau,65,1,15.13,0.07,1.2,,40,556,51,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04059, tr.50",11,FALSE
2048,"Ớt đỏ to Peppers, red, raw",,rau,31,0.99,6.04,0.3,2,,2,211,26,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04061, tr.50",18,FALSE
2049,"Ớt xanh to Peppers, green, raw",,rau,31,1.3,6.07,0.13,1.5,,3,175,25,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04063, tr.50",10,FALSE
2050,"Rau bí Pumpkin leaves, raw",,rau,26,2.7,3.12,0.28,1.7,,17,390,26,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04066, tr.52",23.4,FALSE
2051,Rau câu khô Dried seaweed,,rau,281,11.2,56.6,1.1,20.8,,102,1125,124,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04067, tr.52",0,FALSE
2052,"Rau câu tươi Seaweed, fresh",,rau,45,1.9,9.1,0.1,5,,9,226,34,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04068, tr.52",4,FALSE
2053,"Rau diếp Lettuce, garden, raw",,rau,15,1.2,2.39,0.11,0.5,,14,254,37,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04069, tr.52",10,FALSE
2054,"Rau giền cơm Amaranth, raw spineless,",,rau,27,3.4,2.69,0.31,1.6,,20,611,76,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04072, tr.52",0,FALSE
2055,"Rau giền đỏ Amaranth, sp. Red, raw",,rau,47,3.3,7.79,0.31,1.6,,56,476,123,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04073, tr.52",38,FALSE
2056,Rau húng Basil sweet leaves raw,,rau,34,2.2,5.08,0.52,3.5,,91,148,83,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04075, tr.52",20,FALSE
2057,"Rau mùi tàu Parsley, curley, raw","ngò rí tàu parsley, curley, raw|ngò tàu parsley, curley, raw",rau,30,2.1,4.25,0.55,1.6,,39,237,30,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04082, tr.52",20,FALSE
2058,"Rau sà lách Lettuce, asparagus, garden raw",,rau,18,1.5,2.43,0.27,0.5,,59,333,34,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04090, tr.54",10,FALSE
2059,"Su hào Kohlrabi, cabbage, turnip raw",,rau,44,2.8,7.93,0.07,1.7,,53,321,50,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04096, tr.54",22.4,FALSE
2060,"Su su Chayote, fruit raw",,rau,23,0.8,4.6,0.1,1,,2,125,14,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04098, tr.54",20,FALSE
2061,"Súp lơ trắng Cauliflower, raw","bông cải trắng cauliflower, raw",rau,34,2.5,5.65,0.15,0.9,,20,349,51,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04099, tr.54",40,FALSE
2062,"Dưa chuột muối Cucumber, salt pickled with",,rau,17,0.8,3.06,0.14,0.7,,1208,23,20,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04118, tr.58",0,FALSE
2063,"Mộc nhĩ Jew’s Tender ear, variety, Wood-ear, dried",,rau,332,10.6,72,0.2,7,,70,708,201,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04125, tr.60",10,FALSE
2064,"Nấm (Nấm mỡ tây) Common table mushroom, mushroom, raw",,rau,37,4,4.5,0.3,1.1,,12,322,80,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04128, tr.60",,FALSE
2065,"Nấm tươi thường Gilled meadow raw mushroom, mushroom,",,rau,48,4.6,5.7,0.8,3.5,,5,318,59,,,,,,,NIN,"Bảng TPTP VN 2017, mã 04130, tr.60",,FALSE
2066,Cam Orange,,trái cây,43,0.9,9.74,0.06,1.4,,4,108,23,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05002, tr.64",31.1,FALSE
2067,Chôm chôm Rambutan,,trái cây,77,1.5,17.7,0,1.3,,94,69,15,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05004, tr.64",50,FALSE
2068,Dâu tây Strawberry,,trái cây,59,1.8,12.1,0.4,4,,37,292,23,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05009, tr.64",15,FALSE
2069,"Dưa bở Musk melon, melon, Cantaloupe Spanish",,trái cây,21,0.5,4.3,0.2,0.7,,0,201,36,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05010, tr.64",10,FALSE
2070,Dưa hồng,,trái cây,19,0.3,4.1,0.1,0.4,,18,228,12,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05012, tr.64",16,FALSE
2071,Dứa tây Pineapple,thơm tây pineapple|khóm tây pineapple,trái cây,40,0.5,9.23,0.07,0.4,,1,115,11,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05015, tr.64",40,FALSE
2072,Đào Peach,,trái cây,37,0.9,7.8,0.2,1.5,,0,190,34,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05016, tr.66",12,FALSE
2073,Hồng đỏ Persimmon type ripe kaki soft,,trái cây,38,0.7,8.6,0.1,2.5,,4,214,19,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05020, tr.66",8.8,FALSE
2074,"Hồng xiêm Sapodilla, ponderosa sapota",,trái cây,58,0.5,12.5,0.7,2.5,,12,193,24,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05022, tr.66",10,FALSE
2075,Lựu Pome granate,,trái cây,79,0.6,18.85,0.15,2.5,,3,259,23,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05024, tr.66",85,FALSE
2076,"Mận tím Japanese, plum",,trái cây,23,0.6,4.6,0.2,0.7,,0,157,20,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05027, tr.66",15,FALSE
2077,"Mít dai Jackfruit, mature",,trái cây,54,0.6,12.41,0.19,1.2,,3,368,28,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05028, tr.66",55,FALSE
2078,"Mơ Apricot, Apricot nectar",,trái cây,50,0.9,11.03,0.27,0.8,,1,259,26,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05031, tr.68",14,FALSE
2079,Mơ khô Apricot fured dried unsul-,,trái cây,290,3,66.9,1.1,4.1,,10,1162,106,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05032, tr.68",0,FALSE
2080,"Quả bơ vỏ xanh Avocado, Alligator Pear",,trái cây,103,1.9,2.8,9.4,0.5,,2,351,85,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05042, tr.68",28,FALSE
2081,"Táo tây Apple domestic common,",,trái cây,50,0.5,11.71,0.09,0.6,,15,102,13,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05051, tr.70",12,FALSE
2082,"Vải khô Litchi, dried with shells",,trái cây,264,3,58.6,1.9,1,,3,1110,58,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05053, tr.70",44,FALSE
2083,"Quả kiwi Kiwifruit, gooseberry Chinese",,trái cây,68,1.14,14.66,0.52,3,,3,312,34,,,,,,,NIN,"Bảng TPTP VN 2017, mã 05056, tr.70",14,FALSE
2084,"Bơ thực vật Butter-margarine stick, unsalted blend,",,dầu mỡ,729,0.5,0.1,80.7,0,,2,25,13,,,,,,,NIN,"Bảng TPTP VN 2017, mã 06005, tr.74",0,FALSE
2085,"Dầu oliu Olive cooking oil, salad or",,dầu mỡ,900,0,0,100,0,0,2,1,0.56,,,,,,,NIN,"Bảng TPTP VN 2017, mã 06014, tr.74 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",0,FALSE
2086,"Thịt bê mỡ Veal meat, lean and fat",,thịt,144,19,0,7.5,0,0,76,329,188,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07001, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2087,"Thịt bê nạc Veal meat, lean only",,thịt,85,20,0,0.5,0,0,80,348,176,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07002, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2088,"Thịt nạc bò, lưng, seperable trimmed to lean 1/8” only, fat,",,thịt,121,23.07,0.1,3.16,0,,57,361,214,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07005, tr.78",2,FALSE
2089,"Thịt nạc và bò, mỡ lưng, seperable trimmed to lean 1/4” only, fat,",,thịt,174,21.53,0.7,9.49,0,,59,349,185,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07006, tr.78",2,FALSE
2090,Thịt ràng bồ câu ra Pigeon skin and young giblets bird flesh,,thịt,340,17.5,0,30,0,0,54,199,217,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07007, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",60,FALSE
2091,Thịt chó sấn Dog meat,,thịt,338,16,0,30.4,0,0,20,255,43,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07008, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2092,"Thịt chó vai Dog, shoulder",,thịt,230,18,0,17.6,0,0,32,176,36,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07009, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2093,"Thịt cừu, nạc Mutton meat, lean",,thịt,219,16.4,0,17,0,0,91,256,177,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07010, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2094,"Thịt dê, nạc Goat, meat, lean",,thịt,122,20.7,0,4.3,0,0,82,385,129,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07011, tr.78 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2095,"Thịt gà ta Chicken meat, average",,thịt,199,20.3,0,13.1,0,0,70,189,200,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07013, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",52,FALSE
2096,"Thịt gà tây Turkey, raw flesh",,thịt,218,20.06,0.04,15.3,0,,66,236,320,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07014, tr.80",53,FALSE
2097,Thịt hươu Deer meat,,thịt,94,19,0,2,0,0,51,318,205,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07015, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2098,Thịt lợn mỡ Pork fat,thịt heo mỡ pork fat,thịt,394,14.5,0,37.3,0,0,42,253,156,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07016, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2099,"Thịt nửa mỡ lợn nửa nạc, Pork medium fat","thịt nửa mỡ heo nửa nạc, pork medium fat",thịt,260,16.5,0,21.5,0,0,55,285,178,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07018, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2100,Thịt ngỗng Goose meat,,thịt,409,14,0,39.2,0,0,73,308,210,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07019, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",52,FALSE
2101,Thịt ngựa Horse meat,,thịt,176,21.5,0,10,0,0,62,291,200,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07020, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",2,FALSE
2102,Thịt thỏ nhà Rabbit meat raw,,thịt,158,21.5,0,8,0,0,41,330,224,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07021, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",45,FALSE
2103,Thịt thỏ rừng Hare wild) rabbit (field or,,thịt,103,23.5,0,1,0,0,50,378,226,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07022, tr.80 | sugar_g = 0 [R2 CHỐT 2026-08-18 (DAT-28): SUY RA TẤT YẾU, không phải tra cứu mới — carb_g = 0 ở chính dòng này, mà đường là một phần của carbohydrate tổng nên sugar_g không thể lớn hơn 0. Ràng buộc sugar_g <= carb_g đã được scripts/validate_data.py kiểm tra. Nguồn của carb_g giữ nguyên như ghi ở trên, dòng này không thêm nguồn mới.]",45,FALSE
2104,"Thịt trâu Buffalo meat, average",,thịt,97,20.39,0.89,1.37,0,,53,297,197,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07023, tr.80",0,FALSE
2105,"Bầu dục bò Beef, kidney",,thịt,67,12.5,0.3,1.8,0,,200,262,219,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07029, tr.82",7,FALSE
2106,"Bầu dục lợn Pork, kidney","bầu dục heo pork, kidney",thịt,81,13,0.3,3.1,0,,121,390,223,,,,,,,NIN,"Bảng TPTP VN 2017, mã 07030, tr.82",2,FALSE
